restaurant_id,name,cuisine_type,address,rating,owner_id
R0072,Shahi Sweets,desserts,"Shop 135, Gachibowli, Hyderabad",3.8,U02638
R0073,Cheese Burst Co.,pizza,"Shop 126, Banjara Hills, Hyderabad",4.8,U04847
R0074,Slice Junction,pizza,"Shop 90, Gachibowli, Hyderabad",4.2,U04223
R0075,Stacked Bun Co.,burgers,"Shop 20, Banjara Hills, Hyderabad",4.2,U03041
R0076,Burger Adda,burgers,"Shop 28, Kondapur, Hyderabad",4.7,U02631
R0077,Dragon Wok Express,chinese,"Shop 117, Madhapur, Hyderabad",3.7,U06323
R0078,Wok & Bowl,chinese,"Shop 109, Banjara Hills, Hyderabad",4.7,U05580
R0079,Balanced Bowls,healthy,"Shop 198, Gachibowli, Hyderabad",3.8,U01909
R0080,Fresh Pressed,healthy,"Shop 204, Kukatpally, Hyderabad",4.5,U00566
R0081,Punjabi Tadka,north_indian,"Shop 88, Wakad, Pune",4.5,U02761
R0082,Ghar Ka Khana Co.,north_indian,"Shop 155, Hinjewadi, Pune",4.2,U02007
R0083,Anna Idli House,south_indian,"Shop 178, Viman Nagar, Pune",4.0,U00468
R0084,Udupi Breakfast Club,south_indian,"Shop 162, Baner, Pune",4.8,U00633
R0085,Biryani Adda,biryani,"Shop 149, Baner, Pune",4.4,U05170
R0086,Nawab Dum House,biryani,"Shop 109, Hinjewadi, Pune",4.6,U00799
R0087,Street Treats Co.,street_food,"Shop 6, Hinjewadi, Pune",4.8,U02350
R0088,The Frankie Stop,street_food,"Shop 135, Viman Nagar, Pune",3.7,U01062
R0089,Tangy Tales,chaat,"Shop 49, Baner, Pune",4.2,U02215
R0090,Chaat Junction,chaat,"Shop 35, Viman Nagar, Pune",4.2,U02446
R0091,Sweet Cravings,desserts,"Shop 40, Kothrud, Pune",4.7,U02951
R0092,Dessert Wale,desserts,"Shop 18, Viman Nagar, Pune",4.2,U06290
R0093,Slice Junction,pizza,"Shop 172, Wakad, Pune",3.7,U04964
R0094,Cheese Burst Co.,pizza,"Shop 101, Kothrud, Pune",4.4,U03614
R0095,Patty Pe Charcha,burgers,"Shop 211, Hinjewadi, Pune",4.8,U03689
R0096,Burger Adda,burgers,"Shop 162, Hinjewadi, Pune",4.2,U02832
R0097,Wok & Bowl,chinese,"Shop 83, Kothrud, Pune",4.8,U05697
R0098,Wok on Fire,chinese,"Shop 5, Viman Nagar, Pune",3.8,U04401
R0099,Green Plate Kitchen,healthy,"Shop 207, Wakad, Pune",4.0,U06124
R0100,Fresh Pressed,healthy,"Shop 114, Viman Nagar, Pune",4.7,U02676
R0101,Royal Curry House,north_indian,"Shop 70, OMR, Chennai",4.8,U02412
R0102,Punjabi Tadka,north_indian,"Shop 83, Velachery, Chennai",3.8,U02133
R0103,Filter Coffee Stories,south_indian,"Shop 179, Adyar, Chennai",4.1,U05456
R0104,Anna Idli House,south_indian,"Shop 207, OMR, Chennai",3.7,U02299
R0105,Nawab Dum House,biryani,"Shop 189, Velachery, Chennai",4.4,U03225
R0106,Biryani Adda,biryani,"Shop 156, Adyar, Chennai",4.4,U06032
R0107,The Frankie Stop,street_food,"Shop 21, Velachery, Chennai",4.7,U01836
R0108,Rolls & Rice,street_food,"Shop 80, Velachery, Chennai",4.1,U00273
R0109,Golgappa Factory,chaat,"Shop 164, OMR, Chennai",3.7,U03922
R0110,Chaat Junction,chaat,"Shop 218, Velachery, Chennai",4.6,U02088
R0111,Sweet Cravings,desserts,"Shop 82, Adyar, Chennai",4.0,U04253
R0112,Dessert Wale,desserts,"Shop 6, Velachery, Chennai",4.7,U00330
R0113,Pizza Planet India,pizza,"Shop 185, Adyar, Chennai",4.0,U03378
R0114,Crust Republic,pizza,"Shop 67, Adyar, Chennai",4.2,U05106
R0115,Desi Burger Lab,burgers,"Shop 190, Adyar, Chennai",4.6,U04387
R0116,Burger Adda,burgers,"Shop 46, Adyar, Chennai",4.1,U02960
R0117,Desi Chinese Hub,chinese,"Shop 104, Adyar, Chennai",3.8,U03482
R0118,Dragon Wok Express,chinese,"Shop 111, OMR, Chennai",3.8,U00496
R0119,Salad & Soul,healthy,"Shop 157, OMR, Chennai",4.5,U02715
R0120,Balanced Bowls,healthy,"Shop 132, Velachery, Chennai",3.9,U00919
