item_id,restaurant_id,name,description,price
MI00114,R0025,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00115,R0026,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00116,R0026,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00117,R0026,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00118,R0026,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00119,R0027,Chicken Momos,Juicy steamed chicken momos,149
MI00120,R0027,Pav Bhaji,Buttery bhaji served with pav,149
MI00121,R0027,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00122,R0027,Veg Momos,Steamed momos with red chutney,129
MI00123,R0028,Chicken Momos,Juicy steamed chicken momos,149
MI00124,R0028,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00125,R0028,Veg Momos,Steamed momos with red chutney,129
MI00126,R0028,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00127,R0028,Pav Bhaji,Buttery bhaji served with pav,149
MI00128,R0029,Pani Puri Kit,Take-home golgappa set,129
MI00129,R0029,Sev Puri,Mumbai-style street snack,99
MI00130,R0029,Dahi Puri,Crispy puris with curd and chutneys,119
MI00131,R0029,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00132,R0030,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00133,R0030,Sev Puri,Mumbai-style street snack,99
MI00134,R0030,Dahi Puri,Crispy puris with curd and chutneys,119
MI00135,R0030,Pani Puri Kit,Take-home golgappa set,129
MI00136,R0030,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00137,R0031,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00138,R0031,Rasmalai,Soft rasmalai in saffron milk,109
MI00139,R0031,Gulab Jamun,Warm gulab jamun with syrup,89
MI00140,R0031,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00141,R0031,Falooda,Rose falooda with ice cream,149
MI00142,R0032,Rasmalai,Soft rasmalai in saffron milk,109
MI00143,R0032,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00144,R0032,Falooda,Rose falooda with ice cream,149
MI00145,R0032,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00146,R0033,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00147,R0033,Choco Lava Cake,Warm chocolate-filled cake,99
MI00148,R0033,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00149,R0033,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00150,R0033,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00151,R0034,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00152,R0034,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00153,R0034,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00154,R0034,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00155,R0034,Choco Lava Cake,Warm chocolate-filled cake,99
MI00156,R0035,Masala Fries,Fries tossed in Indian spice mix,99
MI00157,R0035,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00158,R0035,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00159,R0035,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00160,R0036,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00161,R0036,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00162,R0036,Masala Fries,Fries tossed in Indian spice mix,99
MI00163,R0036,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00164,R0036,Aloo Tikki Burger,Classic Indian veg burger,129
MI00165,R0037,Chicken Fried Rice,Classic fried rice with chicken,199
MI00166,R0037,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00167,R0037,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00168,R0037,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00169,R0037,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00170,R0038,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00171,R0038,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00172,R0038,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00173,R0038,Chicken Fried Rice,Classic fried rice with chicken,199
MI00174,R0039,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00175,R0039,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00176,R0039,Sprouts Chaat,Protein-rich sprout salad,149
MI00177,R0039,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00178,R0040,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00179,R0040,Sprouts Chaat,Protein-rich sprout salad,149
MI00180,R0040,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00181,R0040,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00182,R0040,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00183,R0041,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00184,R0041,Dal Makhani,Slow-cooked black lentils with butter,249
MI00185,R0041,Veg Thali,North Indian combo meal with roti and rice,269
MI00186,R0041,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00187,R0041,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00188,R0042,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00189,R0042,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00190,R0042,Veg Thali,North Indian combo meal with roti and rice,269
MI00191,R0042,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00192,R0043,Mini Tiffin,Assorted breakfast platter,189
MI00193,R0043,Filter Coffee,South Indian filter kaapi,59
MI00194,R0043,Podi Dosa,Dosa dusted with podi masala,159
MI00195,R0043,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00196,R0044,Filter Coffee,South Indian filter kaapi,59
MI00197,R0044,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00198,R0044,Podi Dosa,Dosa dusted with podi masala,159
MI00199,R0044,Mini Tiffin,Assorted breakfast platter,189
MI00200,R0044,Masala Dosa,Crisp dosa with potato filling,149
MI00201,R0045,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00202,R0045,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00203,R0045,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00204,R0045,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00205,R0045,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00206,R0046,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00207,R0046,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00208,R0046,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00209,R0046,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00210,R0046,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00211,R0047,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00212,R0047,Pav Bhaji,Buttery bhaji served with pav,149
MI00213,R0047,Chicken Momos,Juicy steamed chicken momos,149
MI00214,R0047,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00215,R0047,Veg Momos,Steamed momos with red chutney,129
MI00216,R0048,Chicken Momos,Juicy steamed chicken momos,149
MI00217,R0048,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00218,R0048,Pav Bhaji,Buttery bhaji served with pav,149
MI00219,R0048,Veg Momos,Steamed momos with red chutney,129
MI00220,R0048,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00221,R0049,Sev Puri,Mumbai-style street snack,99
MI00222,R0049,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00223,R0049,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00224,R0049,Dahi Puri,Crispy puris with curd and chutneys,119
MI00225,R0050,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00226,R0050,Dahi Puri,Crispy puris with curd and chutneys,119
MI00227,R0050,Sev Puri,Mumbai-style street snack,99
MI00228,R0050,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00229,R0051,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00230,R0051,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00231,R0051,Gulab Jamun,Warm gulab jamun with syrup,89
MI00232,R0051,Rasmalai,Soft rasmalai in saffron milk,109
MI00233,R0052,Falooda,Rose falooda with ice cream,149
MI00234,R0052,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00235,R0052,Gulab Jamun,Warm gulab jamun with syrup,89
MI00236,R0052,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00237,R0052,Rasmalai,Soft rasmalai in saffron milk,109
MI00238,R0053,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00239,R0053,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00240,R0053,Choco Lava Cake,Warm chocolate-filled cake,99
MI00241,R0053,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00242,R0054,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00243,R0054,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00244,R0054,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00245,R0054,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00246,R0055,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00247,R0055,Masala Fries,Fries tossed in Indian spice mix,99
MI00248,R0055,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00249,R0055,Aloo Tikki Burger,Classic Indian veg burger,129
MI00250,R0056,Masala Fries,Fries tossed in Indian spice mix,99
MI00251,R0056,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00252,R0056,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00253,R0056,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00254,R0057,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00255,R0057,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00256,R0057,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00257,R0057,Chicken Fried Rice,Classic fried rice with chicken,199
MI00258,R0058,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00259,R0058,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00260,R0058,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00261,R0058,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00262,R0058,Chicken Fried Rice,Classic fried rice with chicken,199
MI00263,R0059,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00264,R0059,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00265,R0059,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00266,R0059,Sprouts Chaat,Protein-rich sprout salad,149
MI00267,R0059,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00268,R0060,Sprouts Chaat,Protein-rich sprout salad,149
MI00269,R0060,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00270,R0060,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00271,R0060,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00272,R0061,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00273,R0061,Dal Makhani,Slow-cooked black lentils with butter,249
MI00274,R0061,Veg Thali,North Indian combo meal with roti and rice,269
MI00275,R0061,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00276,R0061,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00277,R0062,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00278,R0062,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00279,R0062,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00280,R0062,Dal Makhani,Slow-cooked black lentils with butter,249
MI00281,R0063,Podi Dosa,Dosa dusted with podi masala,159
MI00282,R0063,Mini Tiffin,Assorted breakfast platter,189
MI00283,R0063,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00284,R0063,Filter Coffee,South Indian filter kaapi,59
MI00285,R0064,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00286,R0064,Filter Coffee,South Indian filter kaapi,59
MI00287,R0064,Podi Dosa,Dosa dusted with podi masala,159
MI00288,R0064,Mini Tiffin,Assorted breakfast platter,189
MI00289,R0064,Masala Dosa,Crisp dosa with potato filling,149
MI00290,R0065,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00291,R0065,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00292,R0065,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00293,R0065,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00294,R0066,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00295,R0066,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00296,R0066,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00297,R0066,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00298,R0067,Veg Momos,Steamed momos with red chutney,129
MI00299,R0067,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00300,R0067,Chicken Momos,Juicy steamed chicken momos,149
MI00301,R0067,Pav Bhaji,Buttery bhaji served with pav,149
MI00302,R0067,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00303,R0068,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00304,R0068,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00305,R0068,Veg Momos,Steamed momos with red chutney,129
MI00306,R0068,Pav Bhaji,Buttery bhaji served with pav,149
MI00307,R0069,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00308,R0069,Sev Puri,Mumbai-style street snack,99
MI00309,R0069,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00310,R0069,Pani Puri Kit,Take-home golgappa set,129
MI00311,R0070,Sev Puri,Mumbai-style street snack,99
MI00312,R0070,Dahi Puri,Crispy puris with curd and chutneys,119
MI00313,R0070,Pani Puri Kit,Take-home golgappa set,129
MI00314,R0070,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00315,R0071,Rasmalai,Soft rasmalai in saffron milk,109
MI00316,R0071,Gulab Jamun,Warm gulab jamun with syrup,89
MI00317,R0071,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00318,R0071,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00319,R0071,Falooda,Rose falooda with ice cream,149
MI00320,R0072,Rasmalai,Soft rasmalai in saffron milk,109
MI00321,R0072,Falooda,Rose falooda with ice cream,149
MI00322,R0072,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00323,R0072,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00324,R0073,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00325,R0073,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00326,R0073,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00327,R0073,Choco Lava Cake,Warm chocolate-filled cake,99
MI00328,R0073,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00329,R0074,Choco Lava Cake,Warm chocolate-filled cake,99
MI00330,R0074,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00331,R0074,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00332,R0074,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00333,R0075,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00334,R0075,Masala Fries,Fries tossed in Indian spice mix,99
MI00335,R0075,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00336,R0075,Aloo Tikki Burger,Classic Indian veg burger,129
MI00337,R0076,Masala Fries,Fries tossed in Indian spice mix,99
MI00338,R0076,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00339,R0076,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00340,R0076,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00341,R0076,Aloo Tikki Burger,Classic Indian veg burger,129
MI00342,R0077,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00343,R0077,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00344,R0077,Chicken Fried Rice,Classic fried rice with chicken,199
MI00345,R0077,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00346,R0078,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00347,R0078,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00348,R0078,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00349,R0078,Chicken Fried Rice,Classic fried rice with chicken,199
MI00350,R0079,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00351,R0079,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00352,R0079,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00353,R0079,Sprouts Chaat,Protein-rich sprout salad,149
MI00354,R0079,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00355,R0080,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00356,R0080,Sprouts Chaat,Protein-rich sprout salad,149
MI00357,R0080,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00358,R0080,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00359,R0081,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00360,R0081,Dal Makhani,Slow-cooked black lentils with butter,249
MI00361,R0081,Veg Thali,North Indian combo meal with roti and rice,269
MI00362,R0081,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00363,R0081,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00364,R0082,Veg Thali,North Indian combo meal with roti and rice,269
MI00365,R0082,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00366,R0082,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00367,R0082,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00368,R0083,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00369,R0083,Mini Tiffin,Assorted breakfast platter,189
MI00370,R0083,Masala Dosa,Crisp dosa with potato filling,149
MI00371,R0083,Podi Dosa,Dosa dusted with podi masala,159
MI00372,R0084,Podi Dosa,Dosa dusted with podi masala,159
MI00373,R0084,Mini Tiffin,Assorted breakfast platter,189
MI00374,R0084,Filter Coffee,South Indian filter kaapi,59
MI00375,R0084,Masala Dosa,Crisp dosa with potato filling,149
MI00376,R0084,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00377,R0085,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00378,R0085,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00379,R0085,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00380,R0085,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00381,R0085,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00382,R0086,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00383,R0086,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00384,R0086,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00385,R0086,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00386,R0087,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00387,R0087,Pav Bhaji,Buttery bhaji served with pav,149
MI00388,R0087,Veg Momos,Steamed momos with red chutney,129
MI00389,R0087,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00390,R0088,Veg Momos,Steamed momos with red chutney,129
MI00391,R0088,Chicken Momos,Juicy steamed chicken momos,149
MI00392,R0088,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00393,R0088,Pav Bhaji,Buttery bhaji served with pav,149
